Person,Age Group,Income
1,46-55,72130
2,18-25,30820
3,26-35,46865
4,26-35,48748
5,46-55,62339
6,46-55,79960
7,56-65,55607
8,18-25,33751
9,36-45,63021
10,18-25,27677
11,26-35,55147
12,36-45,67433
13,18-25,29422
14,18-25,35485
15,46-55,78250
16,36-45,62196
17,26-35,50626
18,36-45,56832
19,56-65,57505
20,18-25,38464
21,56-65,51051
22,46-55,70336
23,26-35,53145
24,18-25,29386
25,56-65,52168
26,26-35,46913
27,18-25,39960
28,18-25,34292
29,56-65,60311
30,46-55,66967
31,56-65,66358
32,46-55,72964
33,36-45,70035
34,56-65,54681
35,26-35,48679
36,36-45,59575
37,56-65,58081
38,46-55,78394
39,56-65,67661
40,36-45,63609
41,46-55,79155
42,18-25,32019
43,26-35,59121
44,26-35,53087
45,18-25,30930
46,26-35,47186
47,18-25,27266
48,26-35,56696
49,46-55,76171
50,26-35,42978
